Lat,Lon,City,State,Highlight,Decade,Count,Links
39.0867,-77.5775,"Leesburg","Virginia","All","1990",1,0
39.0867,-77.5775,"Leesburg","Virginia","History","1990",1,0
39.0867,-77.5775,"Leesburg","Virginia","History","All",1,0
40.1162,-75.0141,"Philadelphia","Pennsylvania","Education","1990",3,0
40.1162,-75.0141,"Philadelphia","Pennsylvania","History","1990",4,0
40.1162,-75.0141,"Philadelphia","Pennsylvania","Education","All",9,0
40.1162,-75.0141,"Philadelphia","Pennsylvania","History","All",9,0
38.634616,-90.191313,"St. Louis","Missouri","All","All",46,0
38.634616,-90.191313,"St. Louis","Missouri","All","1990",10,0
41.4918,-81.6757,"Cleveland","Ohio","Education","1990",2,0
41.4918,-81.6757,"Cleveland","Ohio","Education","All",2,0
42.279379,-83.783998,"Ann Arbor","Michigan","All","All",18,0
42.279379,-83.783998,"Ann Arbor","Michigan","All","1990",4,0
42.279379,-83.783998,"Ann Arbor","Michigan","Health","1990",1,0
42.279379,-83.783998,"Ann Arbor","Michigan","Health","All",1,0
39.827137,-88.925984,"Decatur","Illinois","All","All",1,0
39.827137,-88.925984,"Decatur","Illinois","All","1960",1,0
39.827137,-88.925984,"Decatur","Illinois","All","1970",1,0
39.827137,-88.925984,"Decatur","Illinois","All","1980",1,0
39.827137,-88.925984,"Decatur","Illinois","All","1990",1,0
43.0343,-87.9151,"Milwaukee","Wisconsin","All","All",59,0
43.0343,-87.9151,"Milwaukee","Wisconsin","All","1990",12,0
38.938176,-92.304865,"Columbia","Missouri","All","All",10,0
38.938176,-92.304865,"Columbia","Missouri","All","1990",6,0
38.912217,-77.017691,"Washington","District of Columbia","Art","1970",11,0
40.1162,-75.0141,"Philadelphia","Pennsylvania","All","1880",3,0
40.1162,-75.0141,"Philadelphia","Pennsylvania","All","1890",3,0
26.121561,-80.128778,"Fort Lauderdale","Florida","All","All",4,0
26.121561,-80.128778,"Fort Lauderdale","Florida","All","1990",3,0
26.121561,-80.128778,"Fort Lauderdale","Florida","Health","1990",1,0
26.121561,-80.128778,"Fort Lauderdale","Florida","Health","All",1,0
33.7564,-84.3918,"Atlanta","Georgia","All","1990",45,0
33.7564,-84.3918,"Atlanta","Georgia","Art","1990",6,0
33.7564,-84.3918,"Atlanta","Georgia","Culture","1990",2,0
33.7564,-84.3918,"Atlanta","Georgia","Art","All",10,0
33.7564,-84.3918,"Atlanta","Georgia","Culture","All",3,0
35.2269,-80.8433,"Charlotte","North Carolina","All","1870",2,0
35.2269,-80.8433,"Charlotte","North Carolina","All","1880",2,0
35.2269,-80.8433,"Charlotte","North Carolina","All","1890",1,0
35.2269,-80.8433,"Charlotte","North Carolina","All","1900",2,0
35.2269,-80.8433,"Charlotte","North Carolina","All","1910",4,0
35.2269,-80.8433,"Charlotte","North Carolina","All","1920",4,0
35.2269,-80.8433,"Charlotte","North Carolina","All","1930",4,0
40.6913,-73.8061,"Jamaica","New York","All","All",14,0
40.6913,-73.8061,"Jamaica","New York","All","1990",5,0
40.6913,-73.8061,"Jamaica","New York","Art","1990",1,0
40.6913,-73.8061,"Jamaica","New York","Culture","1990",1,0
40.6913,-73.8061,"Jamaica","New York","Art","All",1,0
40.6913,-73.8061,"Jamaica","New York","Culture","All",1,0
37.621944,-122.381944,"San Francisco","California","Poetry","1970",4,0
37.621944,-122.381944,"San Francisco","California","Poetry","All",6,0
37.8691,-122.2696,"Berkeley","California","All","1980",6,0
37.8691,-122.2696,"Berkeley","California","History","1980",2,0
37.8691,-122.2696,"Berkeley","California","History","All",6,0
37.8691,-122.2696,"Berkeley","California","Poetry","1990",3,0
37.8691,-122.2696,"Berkeley","California","Poetry","All",13,0
30.450731,-91.186954,"Baton Rouge","Louisiana","All","All",73,0
30.450731,-91.186954,"Baton Rouge","Louisiana","All","1970",14,0
30.450731,-91.186954,"Baton Rouge","Louisiana","Poetry","1970",1,0
30.450731,-91.186954,"Baton Rouge","Louisiana","Poetry","All",1,0
41.1669,-73.2052,"Bridgeport","Connecticut","All","All",3,0
41.1669,-73.2052,"Bridgeport","Connecticut","All","1980",1,0
41.1669,-73.2052,"Bridgeport","Connecticut","All","1990",1,0
33.973093,-118.247896,"Los Angeles","California","Art","1980",1,0
36.8466,-76.2855,"Norfolk","Virginia","All","1910",1,0
40.109522,-88.203631,"Urbana","Illinois","All","All",7,0
40.109522,-88.203631,"Urbana","Illinois","All","1980",5,0
40.694021,-73.99034,"Brooklyn","New York","All","1980",36,0
33.973093,-118.247896,"Los Angeles","California","Culture","1980",1,0
33.973093,-118.247896,"Los Angeles","California","History","1980",2,0
33.973093,-118.247896,"Los Angeles","California","Culture","All",3,0
33.973093,-118.247896,"Los Angeles","California","History","All",5,0
40.694021,-73.99034,"Brooklyn","New York","History","1960",1,0
40.694021,-73.99034,"Brooklyn","New York","Poetry","1960",3,0
